swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,turn_index,subutterance_index,text,pos,trees,ptb_treenumbers,start_turn,end_turn
sw01utt/sw_0116_2406.utt,2/sw2406,2406,0,o,A,1,1,Uh-huh. /,[ Uh-huh/UH ] ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),1,10.276875,10.7615
sw01utt/sw_0116_2406.utt,2/sw2406,2406,1,b,B,2,1,Okay  /,[ Okay/UH,(INTJ (UH Okay) (-DFL- E_S)),3,0.925875,11.741875
sw01utt/sw_0116_2406.utt,2/sw2406,2406,2,sd^t,B,2,2,movies.  /,movies/NNS ] ./.,(NP (NNS movies) (. .) (-DFL- E_S)),4,0.925875,11.741875
sw01utt/sw_0116_2406.utt,2/sw2406,2406,3,sd,B,2,3,I haven't seen too many lately.  /,[ I/PRP ] have/VBP n't/RB seen/VBN too/RB many/JJ lately/RB ./.,(S (NP-SBJ (PRP I)) (VP (VBP have) (RB n't) (VP (VBN seen) (NP (RB too) (JJ many)) (ADVP-TMP (RB lately)))) (. .) (-DFL- E_S)),5,0.925875,11.741875
sw01utt/sw_0116_2406.utt,2/sw2406,2406,4,sd,B,2,4,I have kids  /,[ I/PRP ] have/VBP  [ kids/NNS ],(S (NP-SBJ (PRP I)) (VP (VBP have) (NP (NNS kids))) (-DFL- E_S)),6,0.925875,11.741875
sw01utt/sw_0116_2406.utt,2/sw2406,2406,5,sd,B,2,5,"{C and } we went and  saw THE RESCUERS DOWN UNDER, [ Under, +","and/CC  [ we/PRP ] went/VBD and/CC saw/VBD  [ THE/DT RESCUERS/NNS ] DOWN/IN UNDER/RB ,/, Under/IN ,/,","(S (CC and) (NP-SBJ (PRP we)) (VP (VP (VBD went)) (CC and) (VP (VBD saw) (NP-TTL (NP (DT THE) (NNS RESCUERS)) (ADVP-LOC (IN DOWN) (RB UNDER))) (, ,) (EDITED (RM (-DFL- \[)) (PP-UNF (IN Under)) (, ,) (IP (-DFL- \+))) (PP-TMP (IN over) (RS (-DFL- \])) (EDITED (RM (-DFL- \[)) (NP-UNF (DT the)) (, ,) (IP (-DFL- \+))) (NP (DT the) (RS (-DFL- \])) (NN break))))) (. .) (-DFL- E_S))",7,0.925875,11.741875
sw01utt/sw_0116_2406.utt,2/sw2406,2406,6,b,A,3,1,Uh-huh. /,[ Uh-huh/UH ] ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),1,10.7615,13.757
sw01utt/sw_0116_2406.utt,2/sw2406,2406,7,+,B,4,1,"over ] [ the, + the ] break.  /","over/IN  [ the/DT ] ,/,  [ the/DT break/NN ] ./.","(S (CC and) (NP-SBJ (PRP we)) (VP (VP (VBD went)) (CC and) (VP (VBD saw) (NP-TTL (NP (DT THE) (NNS RESCUERS)) (ADVP-LOC (IN DOWN) (RB UNDER))) (, ,) (EDITED (RM (-DFL- \[)) (PP-UNF (IN Under)) (, ,) (IP (-DFL- \+))) (PP-TMP (IN over) (RS (-DFL- \])) (EDITED (RM (-DFL- \[)) (NP-UNF (DT the)) (, ,) (IP (-DFL- \+))) (NP (DT the) (RS (-DFL- \])) (NN break))))) (. .) (-DFL- E_S))",7,11.741875,13.69175
sw01utt/sw_0116_2406.utt,2/sw2406,2406,8,qy,B,4,2,"[ Do, + do ] you have  kids you take to movies  /","Do/VBP ,/, do/VBP  [ you/PRP ] have/VB  [ kids/NNS you/PRP ] take/VBP to/IN  [ movies/NNS ]","(SQ (EDITED (RM (-DFL- \[)) (SQ-UNF (VBP Do)) (, ,) (IP (-DFL- \+))) (VBP do) (RS (-DFL- \])) (NP-SBJ (PRP you)) (VP (VB have) (NP (NP (NNS kids)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (PRP you)) (VP (VBP take) (NP (-NONE- *T*-1)) (PP-DIR (IN to) (NP (NNS movies)))))))) (-DFL- E_S))",11,11.741875,13.69175
sw01utt/sw_0116_2406.utt,2/sw2406,2406,9,%,B,4,3,"{C or, } -/","or/CC ,/,","(S-UNF (CC or) (, ,) (-DFL- N_S))",12,11.741875,13.69175
sw01utt/sw_0116_2406.utt,2/sw2406,2406,10,nn,A,5,1,"No,  /","No/UH ,/,","(INTJ (UH No) (, ,) (-DFL- E_S))",14,13.757,14.821375
sw01utt/sw_0116_2406.utt,2/sw2406,2406,11,sd^e,A,5,2,no kids. /,[ no/DT kids/NNS ] ./.,(NP (DT no) (NNS kids) (. .) (-DFL- E_S)),15,13.757,14.821375
sw01utt/sw_0116_2406.utt,2/sw2406,2406,12,b,B,6,1,Yeah.  /,Yeah/UH ./.,(INTJ (UH Yeah) (. .) (-DFL- E_S)),17,14.554,30.60725
sw01utt/sw_0116_2406.utt,2/sw2406,2406,13,sd,B,6,2,It's a Walt Disney movie  /,[ It/PRP ] 's/BES  [ a/DT Walt/NNP Disney/NNP movie/NN ],(S (NP-SBJ (PRP It)) (VP (BES 's) (NP-PRD (DT a) (ADJP (NNP Walt) (NNP Disney)) (NN movie))) (-DFL- E_S)),18,14.554,30.60725
sw01utt/sw_0116_2406.utt,2/sw2406,2406,14,sd,B,6,3,"{C and } it didn't get [ as, +  {D you know, } as ] good a reviews as {D like } the LITTLE MERMAID, their last one, and got all kinds of Academy Awards and things last year.  /","and/CC  [ it/PRP ] did/VBD n't/RB get/VB as/IN ,/,  [ you/PRP ] know/VBP ,/, as/RB good/JJ  [ a/DT reviews/NNS ] as/IN like/IN  [ the/DT LITTLE/JJ MERMAID/NN ] ,/,  [ their/PRP$ last/JJ one/CD ] ,/, and/CC got/VBD  [ all/DT kinds/NNS ] of/IN  [ Academy/NNP Awards/NNP ] and/CC  [ things/NNS last/JJ year/NN ] ./.","(S (CC and) (NP-SBJ (PRP it)) (VP (VBD did) (RB n't) (VP (VB get) (EDITED (RM (-DFL- \[)) (NP-UNF (IN as)) (, ,) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (NP (NP (ADJP (RB as) (RS (-DFL- \])) (JJ good)) (DT a) (NNS reviews)) (PP (IN as) (INTJ (UH like)) (NP (NP-TTL (DT the) (JJ LITTLE) (NN MERMAID)) (, ,) (NP (PRP$ their) (JJ last) (CD one))))))) (, ,))|||(FRAG (CC and) (VP (VBD got) (NP (NP (DT all) (NNS kinds)) (PP (IN of) (NP (NP (NNP Academy) (NNP Awards)) (CC and) (NP (NNS things))))) (NP-TMP (JJ last) (NN year))) (. .) (-DFL- E_S))",19|||20,14.554,30.60725
sw01utt/sw_0116_2406.utt,2/sw2406,2406,15,sd,B,6,4,"{C But } this one [ was, +  I thought was ] excellent.  /","But/CC  [ this/DT one/CD ] was/VBD ,/,  [ I/PRP ] thought/VBD was/VBD excellent/JJ ./.","(S (CC But) (NP-SBJ (DT this) (CD one)) (EDITED (RM (-DFL- \[)) (VP-UNF (VBD was)) (, ,) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP I)) (VP (VBD thought)))) (VP (VBD was) (RS (-DFL- \])) (ADJP-PRD (JJ excellent))) (. .) (-DFL- E_S))",21,14.554,30.60725
sw01utt/sw_0116_2406.utt,2/sw2406,2406,16,%,B,6,5,"The  ((   )) , -/","[ The/DT MUMBLEx/XX ] ,/,","(NP (DT The) (XX MUMBLEx) (, ,) (-DFL- N_S))",22,14.554,30.60725
sw01utt/sw_0116_2406.utt,2/sw2406,2406,17,qy,A,7,1,Was that the animated version? /,Was/VBD that/IN  [ the/DT animated/JJ version/NN ] ?/.,(SQ (VBD Was) (NP-SBJ (IN that)) (NP-PRD (DT the) (JJ animated) (NN version)) (. ?) (-DFL- E_S)),24,30.583875,31.9905
sw01utt/sw_0116_2406.utt,2/sw2406,2406,18,ny,B,8,1,"Yeah,  /","Yeah/UH ,/,","(INTJ (UH Yeah) (, ,) (-DFL- E_S))",26,31.733125,71.96975
sw01utt/sw_0116_2406.utt,2/sw2406,2406,19,sd^e,B,8,2,it's animated.  /,[ it/PRP ] 's/BES animated/JJ ./.,(S (NP-SBJ (PRP it)) (VP (BES 's) (ADJP-PRD (JJ animated))) (. .) (-DFL- E_S)),27,31.733125,71.96975
sw01utt/sw_0116_2406.utt,2/sw2406,2406,20,sd,B,8,3,{C And } I can't believe  how good they're getting with their animation now.  /,And/CC  [ I/PRP ] ca/MD n't/RB believe/VB how/WRB  [ good/JJ they/PRP ] 're/VBP getting/VBG with/IN  [ their/PRP$ animation/NN ] now/RB ./.,(S (CC And) (NP-SBJ (PRP I)) (VP (MD ca) (RB n't) (VP (VB believe) (SBAR (WHADJP-1 (WRB how) (JJ good)) (S (NP-SBJ (PRP they)) (VP (VBP 're) (VP (VBG getting) (ADJP-PRD (-NONE- *T*-1)) (PP (IN with) (NP (PRP$ their) (NN animation))) (ADVP-TMP (RB now)))))))) (. .) (-DFL- E_S)),28,31.733125,71.96975
sw01utt/sw_0116_2406.utt,2/sw2406,2406,21,sd,B,8,4,"It's [ just, +   just ] the special effects, {D you know. }  /","[ It/PRP ] 's/BES just/RB ,/, just/RB  [ the/DT special/JJ effects/NNS ] ,/,  [ you/PRP ] know/VBP ./.","(S (NP-SBJ (PRP It)) (VP (BES 's) (EDITED (RM (-DFL- \[)) (ADVP (RB just)) (, ,) (IP (-DFL- \+))) (ADVP (RB just)) (RS (-DFL- \])) (NP-PRD (DT the) (JJ special) (NNS effects)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))))) (. .) (-DFL- E_S))",29,31.733125,71.96975
sw01utt/sw_0116_2406.utt,2/sw2406,2406,22,sd,B,8,5,"{C And } in this movie, [ this, + there's this ] boy  /","And/CC in/IN  [ this/DT movie/NN ] ,/,  [ this/DT ] ,/,  [ there/EX ] 's/BES  [ this/DT boy/NN ]","(S (CC And) (PP (IN in) (NP (DT this) (NN movie))) (, ,) (EDITED (RM (-DFL- \[)) (NP (DT this)) (, ,) (IP (-DFL- \+))) (NP-SBJ (EX there)) (VP (BES 's) (NP-PRD (DT this) (RS (-DFL- \])) (NN boy))) (-DFL- E_S))",30,31.733125,71.96975
sw01utt/sw_0116_2406.utt,2/sw2406,2406,23,sd,B,8,6,"{C and } he rescues this, {F uh, } bald eagle  /","and/CC  [ he/PRP ] rescues/VBZ  [ this/DT ] ,/,  [ uh/UH ] ,/,  [ bald/JJ eagle/NN ]","(S (CC and) (NP-SBJ (PRP he)) (VP (VBZ rescues) (NP (DT this) (, ,) (INTJ (UH uh)) (, ,) (NP (JJ bald) (NN eagle)))) (-DFL- E_S))",31,31.733125,71.96975
